TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
COAD,Q13310,PABPC4,P09651:HNRNPA1,4,4,"{'TCGA-AA-3866', 'TCGA-CA-6717', 'TCGA-AM-5821', 'TCGA-CK-5914'}",1,{'TCGA-AA-A00N'},0,set()
COAD,Q13310,PABPC4,Q9UHX1:PUF60,3,3,"{'TCGA-AA-3866', 'TCGA-CA-6717', 'TCGA-AM-5821'}",0,set(),0,set()
COAD,Q13310,PABPC4,Q15717:ELAVL1,3,3,"{'TCGA-AA-3492', 'TCGA-AM-5821', 'TCGA-CK-5914'}",0,set(),0,set()
COAD,Q13310,PABPC4,Q13148:TARDBP,2,2,"{'TCGA-AM-5821', 'TCGA-CK-5914'}",0,set(),0,set()
COAD,Q13310,PABPC4,Q8WXA9:SREK1,1,1,{'TCGA-CK-5914'},0,set(),0,set()
