TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
COAD,P41743,PRKCI,Q7KZI7:MARK2,3,3,"{'TCGA-AZ-4315', 'TCGA-AA-3984', 'TCGA-D5-6540'}",0,set(),0,set()
COAD,P41743,PRKCI,Q96L34:MARK4,3,3,"{'TCGA-AZ-4315', 'TCGA-AA-3984', 'TCGA-D5-6540'}",0,set(),0,set()
COAD,P41743,PRKCI,P19838:NFKB1,2,2,"{'TCGA-D5-6540', 'TCGA-AA-A010'}",0,set(),0,set()
COAD,P41743,PRKCI,P63000:RAC1,2,2,"{'TCGA-AZ-4315', 'TCGA-AA-3984'}",0,set(),0,set()
COAD,P41743,PRKCI,P01112:HRAS,1,1,{'TCGA-CK-4951'},0,set(),0,set()
COAD,P41743,PRKCI,P51617:IRAK1,1,1,{'TCGA-CK-4951'},0,set(),0,set()
COAD,P41743,PRKCI,P61019:RAB2A,1,1,{'TCGA-D5-6540'},0,set(),0,set()
