TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
BRCA,P0CG48,UBC,P21734:UBC1,4,4,"{'TCGA-AC-A5XS', 'TCGA-D8-A143', 'TCGA-B6-A0WZ', 'TCGA-BH-A18U'}",0,set(),0,set()
BRCA,P0CG48,UBC,P61077:UBE2D3,2,2,"{'TCGA-B6-A0WZ', 'TCGA-D8-A143'}",0,set(),0,set()
BRCA,P0CG48,UBC,Q9UMX0:UBQLN1,1,1,{'TCGA-AN-A03Y'},0,set(),0,set()
BRCA,P0CG48,UBC,A8K3R3:nan,1,1,{'TCGA-AC-A23H'},0,set(),0,set()
BRCA,P0CG48,UBC,Q99816:TSG101,1,1,{'TCGA-B6-A0WZ'},0,set(),0,set()
