TCGA,PROTEIN_A,GENE_A,PROTEIN_GENE_B,GENERAL_OCCURRENCE,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION
HNSC,Q14790,CASP8,P55210:CASP7,3,3,"{'TCGA-T2-A6X2', 'TCGA-CQ-7068', 'TCGA-F7-A624'}",0,set(),0,set()
HNSC,Q14790,CASP8,B4DWA2:nan,3,3,"{'TCGA-T2-A6X2', 'TCGA-CQ-7068', 'TCGA-F7-A624'}",0,set(),0,set()
HNSC,Q14790,CASP8,P19838:NFKB1,2,2,"{'TCGA-CV-7095', 'TCGA-CR-7382'}",0,set(),0,set()
HNSC,Q14790,CASP8,Q13418:ILK,2,2,"{'TCGA-CV-7095', 'TCGA-CR-7382'}",0,set(),0,set()
HNSC,Q14790,CASP8,P55211:CASP9,1,1,{'TCGA-CQ-7068'},0,set(),0,set()
